name,lat,lng
Kaiserburg,11.0758463,49.457883
Kongresshalle,11.1142822,49.4326605
Pellerhaus,11.0809827,49.4569941
St. Sebald - Sebalduskirche Nürnberg,11.0759867,49.4552433
St. Lorenz Kirche,11.0785364,49.450956
Nürnberger Hauptmarkt,11.0772439,49.4536207
Insel Schütt,11.0820609,49.4528823
St. Johannis Kirche und Friedhof,11.0612347,49.4590546
Hauptbahnhof,11.0818116,49.4464099
Plärrer,11.0653981,49.4479457
Neues Museum,11.0800425,49.4478344
Ehrenhalle im Luitpoldhain,11.108161,49.435462
Zeppelinfeld,11.1234553,49.4302886
Akademie der Bildenden Künste Nürnberg,11.1364002,49.4464154
Rangierbahnhof-Siedlung,11.1072357,49.4137366
Quelle,11.015,49.45902
